time (us),gyro,sim ACC,mag,alt (m),temp,time (s),Senor Acc (m/s^2),Sensor Acc (gs)
2583750,0,4131,0,0.423,25.5,2.58375,9.8112072,1.000123058
2650000,0,4108,0,5.021,25.5,2.65,9.8112072,1.000123058
2716250,0,4097,0,-1.599,25.5,2.71625,9.8112072,1.000123058
2782500,0,4110,0,-0.136,25.5,2.7825,9.8112072,1.000123058
2848750,0,4104,0,1.538,25.5,2.84875,9.8112072,1.000123058
2915000,0,4090,0,2.187,25.5,2.915,9.8112072,1.000123058
2981250,0,4093,0,-1.578,25.5,2.98125,9.8112072,1.000123058
3047500,0,4090,0,2.533,25.5,3.0475,9.8112072,1.000123058
3113750,0,4090,0,-2.15,25.5,3.11375,9.8112072,1.000123058
3180000,0,4102,0,-2.688,25.5,3.18,9.8112072,1.000123058
3246250,0,4088,0,-0.99,25.5,3.24625,9.8112072,1.000123058
3312500,0,4124,0,0.229,25.5,3.3125,9.8112072,1.000123058
3378750,0,4081,0,0.269,25.5,3.37875,9.8112072,1.000123058
3445000,0,4117,0,3.283,25.5,3.445,9.8112072,1.000123058
3511250,0,4111,0,2.357,25.5,3.51125,9.8112072,1.000123058
3577500,0,4093,0,1.319,25.5,3.5775,9.8112072,1.000123058
3643750,0,4080,0,1.22,25.5,3.64375,9.8112072,1.000123058
3710000,0,4097,0,0.438,25.5,3.71,9.8112072,1.000123058
3776250,0,4110,0,0.091,25.5,3.77625,9.8112072,1.000123058
3842500,0,4091,0,0.622,25.5,3.8425,9.8112072,1.000123058
3908750,0,4094,0,-1.89,25.5,3.90875,9.8112072,1.000123058
3975000,0,4102,0,-0.953,25.5,3.975,9.8112072,1.000123058
4041250,0,4070,0,-2.498,25.5,4.04125,9.8112072,1.000123058
4107500,0,4087,0,1.164,25.5,4.1075,9.8112072,1.000123058
4173750,0,4081,0,2.845,25.5,4.17375,9.8112072,1.000123058
4240000,0,4044,0,1.314,25.5,4.24,9.8112072,1.000123058
4306250,0,4101,0,-1.855,25.5,4.30625,9.8112072,1.000123058
4372500,0,4064,0,3.916,25.5,4.3725,9.8112072,1.000123058
4438750,0,4103,0,-0.003,25.5,4.43875,9.8112072,1.000123058
4505000,0,4089,0,0.231,25.5,4.505,9.8112072,1.000123058
4571250,0,4089,0,0.234,25.5,4.57125,9.8112072,1.000123058
4637500,0,4078,0,-2.274,25.5,4.6375,9.8112072,1.000123058
4703750,0,4088,0,-1.291,25.5,4.70375,9.8112072,1.000123058
4770000,0,4054,0,6.062,25.5,4.77,9.8112072,1.000123058
4836250,0,4127,0,-2.472,25.5,4.83625,9.8112072,1.000123058
4902500,0,4084,0,1.712,25.5,4.9025,9.8112072,1.000123058
4968750,0,4078,0,2.344,25.5,4.96875,9.8112072,1.000123058
5035000,0,4101,0,2.117,25.5,5.035,9.8112072,1.000123058
5101250,0,4108,0,-1.134,25.5,5.10125,9.8112072,1.000123058
5167500,0,4064,0,-1.701,25.5,5.1675,9.8112072,1.000123058
5233750,0,4079,0,-0.091,25.5,5.23375,9.8112072,1.000123058
5300000,0,4100,0,0.024,25.5,5.3,9.8112072,1.000123058
5366250,0,4086,0,-1.454,25.5,5.36625,9.8112072,1.000123058
5432500,0,4107,0,-2.269,25.5,5.4325,9.8112072,1.000123058
5498750,0,4110,0,-1.157,25.5,5.49875,9.8112072,1.000123058
5565000,0,4075,0,2.322,25.5,5.565,9.8112072,1.000123058
5631250,0,4103,0,1.054,25.5,5.63125,9.8112072,1.000123058
5697500,0,4098,0,1.674,25.5,5.6975,9.8112072,1.000123058
5763750,0,4098,0,-1.399,25.5,5.76375,9.8112072,1.000123058
5830000,0,4100,0,-0.087,25.5,5.83,9.8112072,1.000123058
5896250,0,4101,0,0.027,25.5,5.89625,9.8112072,1.000123058
5962500,0,4098,0,4.978,25.5,5.9625,9.8112072,1.000123058
6028750,0,4107,0,3.469,25.5,6.02875,9.8112072,1.000123058
6095000,0,4077,0,0.946,25.5,6.095,9.8112072,1.000123058
6161250,0,4095,0,-0.531,25.5,6.16125,9.8112072,1.000123058
6227500,0,4073,0,1.907,25.5,6.2275,9.8112072,1.000123058
6293750,0,4100,0,-3.894,25.5,6.29375,9.8112072,1.000123058
6360000,0,4096,0,-1.978,25.5,6.36,9.8112072,1.000123058
6426250,0,4084,0,1.517,25.5,6.42625,9.8112072,1.000123058
6492500,0,4097,0,-0.47,25.5,6.4925,9.8112072,1.000123058
6558750,0,4101,0,3.133,25.5,6.55875,9.8112072,1.000123058
6625000,0,4104,0,1.158,25.5,6.625,9.8112072,1.000123058
6691250,0,4092,0,-4.401,25.5,6.69125,9.8112072,1.000123058
6757500,0,4110,0,2.524,25.5,6.7575,9.8112072,1.000123058
6823750,0,4117,0,0.629,25.5,6.82375,9.8112072,1.000123058
6890000,0,4103,0,1.724,25.5,6.89,9.8112072,1.000123058
6956250,0,4047,0,0.305,25.5,6.95625,9.8112072,1.000123058
7022500,0,4090,0,-2.135,25.5,7.0225,9.8112072,1.000123058
7088750,0,4087,0,0.323,25.5,7.08875,9.8112072,1.000123058
7155000,0,4129,0,-0.382,25.5,7.155,9.8112072,1.000123058
7221250,0,4080,0,-0.007,25.5,7.22125,9.8112072,1.000123058
7287500,0,4096,0,-0.495,25.5,7.2875,9.8112072,1.000123058
7353750,0,4092,0,-0.376,25.5,7.35375,9.8112072,1.000123058
7420000,0,4103,0,3.58,25.5,7.42,9.8112072,1.000123058
7486250,0,4128,0,1.142,25.5,7.48625,9.8112072,1.000123058
7552500,0,4077,0,2.873,25.5,7.5525,9.8112072,1.000123058
7618750,0,4105,0,4.009,25.5,7.61875,9.8112072,1.000123058
7685000,0,4089,0,-3.229,25.5,7.685,9.8112072,1.000123058
7751250,0,4082,0,-2.616,25.5,7.75125,9.8112072,1.000123058
7817500,0,4089,0,-0.633,25.5,7.8175,9.8112072,1.000123058
7883750,0,4084,0,2.73,25.5,7.88375,9.8112072,1.000123058
7950000,0,4094,0,-1.031,25.5,7.95,9.8112072,1.000123058
8016250,0,4114,0,-0.599,25.5,8.01625,9.8112072,1.000123058
8082500,0,4081,0,0.027,25.5,8.0825,9.8112072,1.000123058
8148750,0,4087,0,0.797,25.5,8.14875,9.8112072,1.000123058
8215000,0,4092,0,0.509,25.5,8.215,9.8112072,1.000123058
8281250,0,4098,0,1.045,25.5,8.28125,9.8112072,1.000123058
8347500,0,4104,0,-2.855,25.5,8.3475,9.8112072,1.000123058
8413750,0,4067,0,1.712,25.5,8.41375,9.8112072,1.000123058
8480000,0,4107,0,3.533,25.5,8.48,9.8112072,1.000123058
8546250,0,4095,0,-1.574,25.5,8.54625,9.8112072,1.000123058
8612500,0,4092,0,-1.1,25.5,8.6125,9.8112072,1.000123058
8678750,0,4110,0,-1.91,25.5,8.67875,9.8112072,1.000123058
8745000,0,4067,0,0.401,25.5,8.745,9.8112072,1.000123058
8811250,0,4084,0,3.606,25.5,8.81125,9.8112072,1.000123058
8877500,0,4089,0,-1.637,25.5,8.8775,9.8112072,1.000123058
8943750,0,4087,0,0.491,25.5,8.94375,9.8112072,1.000123058
9010000,0,4122,0,-2.425,25.5,9.01,9.8112072,1.000123058
9076250,0,4081,0,0.355,25.5,9.07625,9.8112072,1.000123058
9142500,0,4091,0,1.268,25.5,9.1425,9.8112072,1.000123058
9208750,0,4122,0,-0.693,25.5,9.20875,9.8112072,1.000123058
9275000,0,4102,0,2.452,25.5,9.275,9.8112072,1.000123058
9341250,0,4109,0,0.566,25.5,9.34125,9.8112072,1.000123058
9407500,0,4137,0,0.716,25.5,9.4075,9.8112072,1.000123058
9473750,0,4058,0,1.497,25.5,9.47375,9.8112072,1.000123058
9540000,0,4115,0,0.621,25.5,9.54,9.8112072,1.000123058
9606250,0,4090,0,-2.365,25.5,9.60625,9.8112072,1.000123058
9672500,0,4084,0,0.547,25.5,9.6725,9.8112072,1.000123058
9738750,0,4075,0,1.372,25.5,9.73875,9.8112072,1.000123058
9805000,0,4089,0,-1.077,25.5,9.805,9.8112072,1.000123058
9871250,0,4108,0,1.573,25.5,9.87125,9.8112072,1.000123058
9937500,0,4105,0,4.853,25.5,9.9375,9.8112072,1.000123058
10003750,0,4097,0,2.241,25.5,10.00375,9.8112072,1.000123058
10070000,0,4096,0,-1.523,25.5,10.07,9.8112072,1.000123058
10136250,0,4115,0,0.395,25.5,10.13625,9.8112072,1.000123058
10202500,0,4089,0,-3.093,25.5,10.2025,9.8112072,1.000123058
10268750,0,4081,0,0.031,25.5,10.26875,9.8112072,1.000123058
10335000,0,4097,0,2.605,25.5,10.335,9.8112072,1.000123058
10401250,0,4108,0,2.659,25.5,10.40125,9.8112072,1.000123058
10467500,0,4097,0,-2.204,25.5,10.4675,9.8112072,1.000123058
10533750,0,4115,0,-1.309,25.5,10.53375,9.8112072,1.000123058
10600000,0,4098,0,-0.652,25.5,10.6,9.8112072,1.000123058
10666250,0,4115,0,-1.353,25.5,10.66625,9.8112072,1.000123058
10732500,0,4090,0,1.836,25.5,10.7325,9.8112072,1.000123058
10798750,0,4096,0,0.935,25.5,10.79875,9.8112072,1.000123058
10865000,0,4109,0,5.188,25.5,10.865,9.8112072,1.000123058
10931250,0,4092,0,-3.644,25.5,10.93125,9.8112072,1.000123058
10997500,0,4077,0,1.056,25.5,10.9975,9.8112072,1.000123058
11063750,0,4103,0,-0.401,25.5,11.06375,9.8112072,1.000123058
11130000,0,4095,0,-2.13,25.5,11.13,9.8112072,1.000123058
11196250,0,4090,0,1.331,25.5,11.19625,9.8112072,1.000123058
11262500,0,4120,0,2,25.5,11.2625,9.8112072,1.000123058
11328750,0,4079,0,3.877,25.5,11.32875,9.8112072,1.000123058
11395000,0,4100,0,-1.186,25.5,11.395,9.8112072,1.000123058
11461250,0,4096,0,1.218,25.5,11.46125,9.8112072,1.000123058
11527500,0,4106,0,0.798,25.5,11.5275,9.8112072,1.000123058
11593750,0,4124,0,-0.204,25.5,11.59375,9.8112072,1.000123058
11660000,0,4091,0,1.199,25.5,11.66,9.8112072,1.000123058
11726250,0,4108,0,3.559,25.5,11.72625,9.8112072,1.000123058
11792500,0,4088,0,0.946,25.5,11.7925,9.8112072,1.000123058
11858750,0,4057,0,-0.301,25.5,11.85875,9.8112072,1.000123058
11925000,0,4085,0,1.77,25.5,11.925,9.8112072,1.000123058
11991250,0,4082,0,-1.662,25.5,11.99125,9.8112072,1.000123058
12057500,0,4089,0,-5.164,25.5,12.0575,9.8112072,1.000123058
12123750,0,4094,0,-0.66,25.5,12.12375,9.8112072,1.000123058
12190000,0,4063,0,-0.485,25.5,12.19,9.8112072,1.000123058
12256250,0,4106,0,-3.629,25.5,12.25625,9.8112072,1.000123058
12322500,0,4103,0,0.452,25.5,12.3225,9.8112072,1.000123058
12388750,0,4112,0,-3.245,25.5,12.38875,9.8112072,1.000123058
12455000,0,4103,0,-2.165,25.5,12.455,9.8112072,1.000123058
12521250,0,4080,0,-1.587,25.5,12.52125,9.8112072,1.000123058
12587500,0,4117,0,0.791,25.5,12.5875,9.8112072,1.000123058
12653750,0,4088,0,0.52,25.5,12.65375,9.8112072,1.000123058
12720000,0,4108,0,-1.287,25.5,12.72,9.8112072,1.000123058
12786250,0,4080,0,1.517,25.5,12.78625,9.8112072,1.000123058
12852500,0,4089,0,2.336,25.5,12.8525,9.8112072,1.000123058
12918750,0,4077,0,-0.093,25.5,12.91875,9.8112072,1.000123058
12985000,0,4099,0,-2.876,25.5,12.985,9.8112072,1.000123058
13051250,0,4087,0,1.732,25.5,13.05125,9.8112072,1.000123058
13117500,0,4101,0,1.569,25.5,13.1175,9.8112072,1.000123058
13183750,0,4112,0,0.502,25.5,13.18375,9.8112072,1.000123058
13250000,0,4110,0,3.083,25.5,13.25,9.8112072,1.000123058
13316250,0,4086,0,6.64,25.5,13.31625,9.8112072,1.000123058
13382500,0,4113,0,1.191,25.5,13.3825,9.8112072,1.000123058
13448750,0,4092,0,0.322,25.5,13.44875,9.8112072,1.000123058
13515000,0,4075,0,-0.63,25.5,13.515,9.8112072,1.000123058
13581250,0,4090,0,0.22,25.5,13.58125,9.8112072,1.000123058
13647500,0,4097,0,2.298,25.5,13.6475,9.8112072,1.000123058
13713750,0,4112,0,-0.574,25.5,13.71375,9.8112072,1.000123058
13780000,0,4103,0,-3.701,25.5,13.78,9.8112072,1.000123058
13846250,0,4095,0,2.022,25.5,13.84625,9.8112072,1.000123058
13912500,0,4096,0,0.25,25.5,13.9125,9.8112072,1.000123058
13978750,0,4121,0,1.777,25.5,13.97875,9.8112072,1.000123058
14045000,0,4087,0,0.505,25.5,14.045,9.8112072,1.000123058
14111250,0,4095,0,1.293,25.5,14.11125,9.8112072,1.000123058
14177500,0,4071,0,-2.356,25.5,14.1775,9.8112072,1.000123058
14243750,0,4084,0,-2.872,25.5,14.24375,9.8112072,1.000123058
14310000,0,4115,0,-3.039,25.5,14.31,9.8112072,1.000123058
14376250,0,4064,0,4.2,25.5,14.37625,9.8112072,1.000123058
14442500,0,4069,0,0.889,25.5,14.4425,9.8112072,1.000123058
14508750,0,4100,0,-2.433,25.5,14.50875,9.8112072,1.000123058
14575000,0,4071,0,-1.439,25.5,14.575,9.8112072,1.000123058
14641250,0,4116,0,3.506,25.5,14.64125,9.8112072,1.000123058
14707500,0,4073,0,-4.455,25.5,14.7075,9.8112072,1.000123058
14773750,0,4105,0,-1.159,25.5,14.77375,9.8112072,1.000123058
14840000,0,4100,0,0.716,25.5,14.84,9.8112072,1.000123058
14906250,0,4086,0,-1.642,25.5,14.90625,9.8112072,1.000123058
14972500,0,4102,0,-3.036,25.5,14.9725,9.8112072,1.000123058
15038750,0,4133,0,0.916,25.5,15.03875,9.8112072,1.000123058
15105000,0,4110,0,0.183,25.5,15.105,9.8112072,1.000123058
15171250,0,4112,0,2.551,25.5,15.17125,9.8112072,1.000123058
15237500,0,4068,0,-3.625,25.5,15.2375,9.8112072,1.000123058
15303750,0,4111,0,0.012,25.5,15.30375,9.8112072,1.000123058
15370000,0,4098,0,1.986,25.5,15.37,9.8112072,1.000123058
15436250,0,4086,0,-0.18,25.5,15.43625,9.8112072,1.000123058
15502500,0,4119,0,-0.479,25.5,15.5025,9.8112072,1.000123058
15568750,0,4098,0,2.822,25.5,15.56875,9.8112072,1.000123058
15635000,0,4102,0,-0.672,25.5,15.635,9.8112072,1.000123058
15701250,0,4098,0,-2.235,25.5,15.70125,9.8112072,1.000123058
15767500,0,4095,0,-1.871,25.5,15.7675,9.8112072,1.000123058
15833750,0,4081,0,-2.441,25.5,15.83375,9.8112072,1.000123058
15900000,0,4092,0,2.52,25.5,15.9,9.8112072,1.000123058
15966250,0,4124,0,0.214,25.5,15.96625,9.8112072,1.000123058
16032500,0,4111,0,-0.638,25.5,16.0325,9.8112072,1.000123058
16098750,0,4116,0,0.559,25.5,16.09875,9.8112072,1.000123058
16165000,0,4091,0,3.235,25.5,16.165,9.8112072,1.000123058
16231250,0,4100,0,-1.501,25.5,16.23125,9.8112072,1.000123058
16297500,0,4073,0,0.739,25.5,16.2975,9.8112072,1.000123058
16363750,0,4069,0,-0.159,25.5,16.36375,9.8112072,1.000123058
16430000,0,4089,0,1.827,25.5,16.43,9.8112072,1.000123058
16496250,0,4094,0,1.047,25.5,16.49625,9.8112072,1.000123058
16562500,0,4076,0,2.031,25.5,16.5625,9.8112072,1.000123058
16628750,0,4108,0,-1.537,25.5,16.62875,9.8112072,1.000123058
16695000,0,4102,0,1.799,25.5,16.695,9.8112072,1.000123058
16761250,0,4105,0,-2.854,25.5,16.76125,9.8112072,1.000123058
16827500,0,4108,0,-0.829,25.5,16.8275,9.8112072,1.000123058
16893750,0,4110,0,2.232,25.5,16.89375,9.8112072,1.000123058
16960000,0,4103,0,-0.485,25.5,16.96,9.8112072,1.000123058
17026250,0,4097,0,3.494,25.5,17.02625,9.8112072,1.000123058
17092500,0,4079,0,-1.9,25.5,17.0925,9.8112072,1.000123058
17158750,0,4091,0,-0.092,25.5,17.15875,9.8112072,1.000123058
17225000,0,4113,0,-1.613,25.5,17.225,9.8112072,1.000123058
17291250,0,4114,0,2.35,25.5,17.29125,9.8112072,1.000123058
17357500,0,4095,0,-0.397,25.5,17.3575,9.8112072,1.000123058
17423750,0,4088,0,0.748,25.5,17.42375,9.8112072,1.000123058
17490000,0,4114,0,-1.035,25.5,17.49,9.8112072,1.000123058
17556250,0,4069,0,0.211,25.5,17.55625,9.8112072,1.000123058
17622500,0,4083,0,-1.036,25.5,17.6225,9.8112072,1.000123058
17688750,0,4080,0,3.331,25.5,17.68875,9.8112072,1.000123058
17755000,0,4107,0,-1.317,25.5,17.755,9.8112072,1.000123058
17821250,0,4113,0,-0.277,25.5,17.82125,9.8112072,1.000123058
17887500,0,4093,0,0.027,25.5,17.8875,9.8112072,1.000123058
17953750,0,4098,0,2.552,25.5,17.95375,9.8112072,1.000123058
18020000,0,4102,0,-1.221,25.5,18.02,9.8112072,1.000123058
18086250,0,4090,0,2.502,25.5,18.08625,9.8112072,1.000123058
18152500,0,4091,0,-1.925,25.5,18.1525,9.8112072,1.000123058
18218750,0,4111,0,2.552,25.5,18.21875,9.8112072,1.000123058
18285000,0,4094,0,2.75,25.5,18.285,9.8112072,1.000123058
18351250,0,4119,0,-0.962,25.5,18.35125,9.8112072,1.000123058
18417500,0,4095,0,0.706,25.5,18.4175,9.8112072,1.000123058
18483750,0,4075,0,1.404,25.5,18.48375,9.8112072,1.000123058
18550000,0,4104,0,-1.316,25.5,18.55,9.8112072,1.000123058
18616250,0,4096,0,-3.727,25.5,18.61625,9.8112072,1.000123058
18682500,0,4095,0,0.107,25.5,18.6825,9.8112072,1.000123058
18748750,0,4100,0,-0.134,25.5,18.74875,9.8112072,1.000123058
18815000,0,4094,0,-3.367,25.5,18.815,9.8112072,1.000123058
18881250,0,4087,0,-0.016,25.5,18.88125,9.8112072,1.000123058
18947500,0,4104,0,-1.404,25.5,18.9475,9.8112072,1.000123058
19013750,0,4052,0,-0.12,25.5,19.01375,9.8112072,1.000123058
19080000,0,4121,0,-1.717,25.5,19.08,9.8112072,1.000123058
19146250,0,4108,0,-1.873,25.5,19.14625,9.8112072,1.000123058
19212500,0,4128,0,-1.291,25.5,19.2125,9.8112072,1.000123058
19278750,0,4082,0,-1.969,25.5,19.27875,9.8112072,1.000123058
19345000,0,4070,0,-0.276,25.5,19.345,9.8112072,1.000123058
19411250,0,4093,0,-0.945,25.5,19.41125,9.8112072,1.000123058
19477500,0,4111,0,1.727,25.5,19.4775,9.8112072,1.000123058
19543750,0,4121,0,-1.737,25.5,19.54375,9.8112072,1.000123058
19610000,0,4083,0,-0.72,25.5,19.61,9.8112072,1.000123058
19676250,0,4091,0,2.296,25.5,19.67625,9.8112072,1.000123058
19742500,0,4085,0,0.657,25.5,19.7425,9.8112072,1.000123058
19808750,0,4124,0,2.576,25.5,19.80875,9.8112072,1.000123058
19875000,0,4093,0,1.671,25.5,19.875,9.8112072,1.000123058
19941250,0,4098,0,3.652,25.5,19.94125,9.8112072,1.000123058
20007500,0,4093,0,-0.419,25.5,20.0075,9.8112072,1.000123058
20073750,0,4062,0,-2.136,25.5,20.07375,9.8112072,1.000123058
20140000,0,4097,0,-0.131,25.5,20.14,9.8112072,1.000123058
20206250,0,4095,0,0.435,25.5,20.20625,9.8112072,1.000123058
20272500,0,4093,0,-0.652,25.5,20.2725,9.8112072,1.000123058
20338750,0,4066,0,2.376,25.5,20.33875,9.8112072,1.000123058
20405000,0,4106,0,-1.229,25.5,20.405,9.8112072,1.000123058
20471250,0,4068,0,-2.823,25.5,20.47125,9.8112072,1.000123058
20537500,0,4138,0,1.383,25.5,20.5375,9.8112072,1.000123058
20603750,0,4099,0,3.456,25.5,20.60375,9.8112072,1.000123058
20670000,0,4095,0,-4.543,25.5,20.67,9.8112072,1.000123058
20736250,0,4099,0,-3.836,25.5,20.73625,9.8112072,1.000123058
20802500,0,4066,0,-0.974,25.5,20.8025,9.8112072,1.000123058
20868750,0,4101,0,1.255,25.5,20.86875,9.8112072,1.000123058
20935000,0,4118,0,-1.119,25.5,20.935,9.8112072,1.000123058
21001250,0,4084,0,-0.872,25.5,21.00125,9.8112072,1.000123058
21067500,0,4117,0,-0.524,25.5,21.0675,9.8112072,1.000123058
21133750,0,4069,0,-1.753,25.5,21.13375,9.8112072,1.000123058
21200000,0,4099,0,-1.118,25.5,21.2,9.8112072,1.000123058
21266250,0,4109,0,1.655,25.5,21.26625,9.8112072,1.000123058
21332500,0,4080,0,0.057,25.5,21.3325,9.8112072,1.000123058
21398750,0,4088,0,0.065,25.5,21.39875,9.8112072,1.000123058
21465000,0,4090,0,-0.451,25.5,21.465,9.8112072,1.000123058
21531250,0,4142,0,-2.038,25.5,21.53125,9.8112072,1.000123058
21597500,0,4060,0,-2.739,25.5,21.5975,9.8112072,1.000123058
21663750,0,4104,0,-2.484,25.5,21.66375,9.8112072,1.000123058
21730000,0,4062,0,-1.941,25.5,21.73,9.8112072,1.000123058
21796250,0,4093,0,0.215,25.5,21.79625,9.8112072,1.000123058
21862500,0,4120,0,1.34,25.5,21.8625,9.8112072,1.000123058
21928750,0,4088,0,0.323,25.5,21.92875,9.8112072,1.000123058
21995000,0,4073,0,0.584,25.5,21.995,9.8112072,1.000123058
22061250,0,4112,0,-1.187,25.5,22.06125,9.8112072,1.000123058
22127500,0,4073,0,0.363,25.5,22.1275,9.8112072,1.000123058
22193750,0,4105,0,6.475,25.5,22.19375,9.8112072,1.000123058
22260000,0,4095,0,0.674,25.5,22.26,9.8112072,1.000123058
22326250,0,4096,0,2.346,25.5,22.32625,9.8112072,1.000123058
22392500,0,4115,0,3.438,25.5,22.3925,9.8112072,1.000123058
22458750,0,4084,0,-4.424,25.5,22.45875,9.8112072,1.000123058
22525000,0,4087,0,3.633,25.5,22.525,9.8112072,1.000123058
22591250,0,4111,0,2.544,25.5,22.59125,9.8112072,1.000123058
22657500,0,4103,0,3.051,25.5,22.6575,9.8112072,1.000123058
22723750,0,4081,0,-3.736,25.5,22.72375,9.8112072,1.000123058
22790000,0,4108,0,1.856,25.5,22.79,9.8112072,1.000123058
22856250,0,4110,0,5.54,25.5,22.85625,9.8112072,1.000123058
22922500,0,4075,0,-0.002,25.5,22.9225,9.8112072,1.000123058
22988750,0,4101,0,2.833,25.5,22.98875,9.8112072,1.000123058
23055000,0,4087,0,-1.005,25.5,23.055,9.8112072,1.000123058
23121250,0,4080,0,-1.33,25.5,23.12125,9.8112072,1.000123058
23187500,0,4085,0,-0.461,25.5,23.1875,9.8112072,1.000123058
23253750,0,4085,0,0.839,25.5,23.25375,9.8112072,1.000123058
23320000,0,4083,0,1.21,25.5,23.32,9.8112072,1.000123058
23386250,0,4062,0,2.964,25.5,23.38625,9.8112072,1.000123058
23452500,0,4121,0,0.308,25.5,23.4525,9.8112072,1.000123058
23518750,0,4114,0,-1.642,25.5,23.51875,9.8112072,1.000123058
23585000,0,4066,0,-4.742,25.5,23.585,9.8112072,1.000123058
23651250,0,4096,0,0.75,25.5,23.65125,9.8112072,1.000123058
23717500,0,4087,0,0.157,25.5,23.7175,9.8112072,1.000123058
23783750,0,4095,0,-1.269,25.5,23.78375,9.8112072,1.000123058
23850000,0,4094,0,-1.002,25.5,23.85,9.8112072,1.000123058
23916250,0,4089,0,1.042,25.5,23.91625,9.8112072,1.000123058
23982500,0,4078,0,3.532,25.5,23.9825,9.8112072,1.000123058
24048750,0,4080,0,-1.845,25.5,24.04875,9.8112072,1.000123058
24115000,0,4088,0,-0.573,25.5,24.115,9.8112072,1.000123058
24181250,0,4074,0,2.188,25.5,24.18125,9.8112072,1.000123058
24247500,0,4091,0,1.501,25.5,24.2475,9.8112072,1.000123058
24313750,0,4077,0,2.866,25.5,24.31375,9.8112072,1.000123058
24380000,0,4092,0,-1.625,25.5,24.38,9.8112072,1.000123058
24446250,0,4094,0,0.503,25.5,24.44625,9.8112072,1.000123058
24512500,0,4126,0,-1.964,25.5,24.5125,9.8112072,1.000123058
24578750,0,4068,0,0.233,25.5,24.57875,9.8112072,1.000123058
24645000,0,4110,0,-0.637,25.5,24.645,9.8112072,1.000123058
24711250,0,4084,0,0.914,25.5,24.71125,9.8112072,1.000123058
24777500,0,4109,0,2.094,25.5,24.7775,9.8112072,1.000123058
24843750,0,4082,0,-0.804,25.5,24.84375,9.8112072,1.000123058
24910000,0,4099,0,-0.608,25.5,24.91,9.8112072,1.000123058
24976250,0,4111,0,-2.183,25.5,24.97625,9.8112072,1.000123058
25042500,0,4086,0,3.801,25.5,25.0425,9.8112072,1.000123058
25108750,0,4074,0,0.12,25.5,25.10875,9.8112072,1.000123058
25175000,0,4100,0,-0.599,25.5,25.175,9.8112072,1.000123058
25241250,0,4098,0,2.882,25.5,25.24125,9.8112072,1.000123058
25307500,0,4094,0,-0.863,25.5,25.3075,9.8112072,1.000123058
25373750,0,4109,0,2.218,25.5,25.37375,9.8112072,1.000123058
