time (us),gyro,sim ACC,mag,alt (m),temp,time (s),Senor Acc (m/s^2),Sensor Acc (gs),,R1,R2
3577500,0,-4097,0,-2.297,25.5,3.5775,9.8112072,1.000123058,,0.807608381,-2.297003056
3643750,0,-4112,0,1.544,25.5,3.64375,9.8112072,1.000123058,,15.65836118,1.544168146
3710000,0,-4090,0,1.696,25.5,3.71,9.8112072,1.000123058,,-6.461004411,1.695985083
3776250,0,-4097,0,-1.829,25.5,3.77625,9.8112072,1.000123058,,0.78123414,-1.829447994
3842500,0,-4105,0,1.424,25.5,3.8425,9.8112072,1.000123058,,8.515371866,1.424215234
3908750,0,-4105,0,-0.764,25.5,3.90875,9.8112072,1.000123058,,8.70736063,-0.76352202
3975000,0,-4090,0,-1.086,25.5,3.975,9.8112072,1.000123058,,-5.644429111,-1.085707087
4041250,0,-4105,0,3.101,25.5,4.04125,9.8112072,1.000123058,,8.586889265,3.101141784
4107500,0,-4095,0,-0.146,25.5,4.1075,9.8112072,1.000123058,,-0.682304483,-0.145979901
4173750,0,-4068,0,-2.187,25.5,4.17375,9.8112072,1.000123058,,-27.70399349,-2.187307155
4240000,0,-4107,0,-3.01,25.5,4.24,9.8112072,1.000123058,,10.77213211,-3.009871365
4306250,0,-4104,0,-3.808,25.5,4.30625,9.8112072,1.000123058,,8.402399484,-3.807655033
4372500,0,-4091,0,0.894,25.5,4.3725,9.8112072,1.000123058,,-4.901086122,0.894330526
4438750,0,-4109,0,1.617,25.5,4.43875,9.8112072,1.000123058,,13.31844343,1.617113451
4505000,0,-4099,0,-2.355,25.5,4.505,9.8112072,1.000123058,,3.344258157,-2.354912308
4571250,0,-4140,0,0.334,25.5,4.57125,9.8112072,1.000123058,,44.00251146,0.33423044
4637500,0,-4076,0,0.255,25.5,4.6375,9.8112072,1.000123058,,-20.11123181,0.254701182
4703750,0,-4110,0,3.084,25.5,4.70375,9.8112072,1.000123058,,14.25569137,3.083948821
4770000,0,-4115,0,-2.145,25.5,4.77,9.8112072,1.000123058,,18.84040329,-2.145295812
4836250,0,-4080,0,-0.905,25.5,4.83625,9.8112072,1.000123058,,-16.44377281,-0.90480952
4902500,0,-4076,0,-1.791,25.5,4.9025,9.8112072,1.000123058,,-20.28457116,-1.790584066
4968750,0,-4105,0,1.596,25.5,4.96875,9.8112072,1.000123058,,8.873429769,1.595891956
5035000,0,-4146,0,2.242,25.5,5.035,9.8112072,1.000123058,,50.12893251,2.242112364
5101250,0,-4076,0,0.589,25.5,5.10125,9.8112072,1.000123058,,-19.93155892,0.588870832
5167500,0,-4091,0,-1.027,25.5,5.1675,9.8112072,1.000123058,,-5.289655306,-1.026637069
5233750,0,-4106,0,-0.554,25.5,5.23375,9.8112072,1.000123058,,10.10150733,-0.553631604
5300000,0,-4111,0,-1.409,25.5,5.3,9.8112072,1.000123058,,14.653831,-1.40885029
5366250,0,-4120,0,-1.521,25.5,5.36625,9.8112072,1.000123058,,23.81617522,-1.520736893
5432500,0,-4085,0,1.205,25.5,5.4325,9.8112072,1.000123058,,-11.50338294,1.205055851
5498750,0,-4102,0,-0.499,25.5,5.49875,9.8112072,1.000123058,,5.780148708,-0.49913641
5565000,0,-4090,0,-0.044,25.5,5.565,9.8112072,1.000123058,,-6.122454583,-0.044346829
5631250,0,-4093,0,0.933,25.5,5.63125,9.8112072,1.000123058,,-3.391829098,0.932856979
5697500,0,-4096,0,-3.413,25.5,5.6975,9.8112072,1.000123058,,-0.189790567,-3.413298672
5763750,0,-4090,0,1.248,25.5,5.76375,9.8112072,1.000123058,,-6.338434891,1.248456517
5830000,0,-4096,0,-0.097,25.5,5.83,9.8112072,1.000123058,,0.484134083,-0.097160196
5896250,0,-4081,0,0.841,25.5,5.89625,9.8112072,1.000123058,,-15.2155506,0.840667577
5962500,0,-4100,0,-2.246,25.5,5.9625,9.8112072,1.000123058,,4.46233827,-2.246068433
6028750,0,-4095,0,0.26,25.5,6.02875,9.8112072,1.000123058,,-1.153377435,0.260067638
6095000,0,-4097,0,2.25,25.5,6.095,9.8112072,1.000123058,,0.596841361,2.250469762
6161250,0,-4073,0,-0.26,25.5,6.16125,9.8112072,1.000123058,,-22.60142954,-0.260360056
6227500,0,-4077,0,0.952,25.5,6.2275,9.8112072,1.000123058,,-18.68370625,0.951630312
6293750,0,-4108,0,0.484,25.5,6.29375,9.8112072,1.000123058,,11.63027296,0.48435408
6360000,0,-4089,0,2.348,25.5,6.36,9.8112072,1.000123058,,-7.332614487,2.348142818
6426250,0,-4095,0,0.944,25.5,6.42625,9.8112072,1.000123058,,-1.022029741,0.943657906
6492500,0,-4085,0,0.421,25.5,6.4925,9.8112072,1.000123058,,-10.64575827,0.421371784
6558750,0,-4100,0,-2.6,25.5,6.55875,9.8112072,1.000123058,,4.468555111,-2.60022226
6625000,0,-4090,0,-2.103,25.5,6.625,9.8112072,1.000123058,,-6.362774171,-2.103291517
6691250,0,-4117,0,1.178,25.5,6.69125,9.8112072,1.000123058,,21.31572539,1.178469574
6757500,0,-4086,0,1.58,25.5,6.7575,9.8112072,1.000123058,,-10.38207446,1.579733829
6823750,0,-4087,0,-1.021,25.5,6.82375,9.8112072,1.000123058,,-8.899261656,-1.020943534
6890000,0,-4098,0,-0.784,25.5,6.89,9.8112072,1.000123058,,1.801375985,-0.784305439
6956250,0,-4115,0,3.381,25.5,6.95625,9.8112072,1.000123058,,18.97079437,3.381084105
7022500,0,-4069,0,-1.306,25.5,7.0225,9.8112072,1.000123058,,-26.80712352,-1.305954268
7088750,0,-4101,0,0.702,25.5,7.08875,9.8112072,1.000123058,,5.480313188,0.701771205
7155000,0,-4111,0,2.933,25.5,7.155,9.8112072,1.000123058,,14.75446057,2.933211781
7221250,0,-4084,0,-2.041,25.5,7.22125,9.8112072,1.000123058,,-12.13543294,-2.04126054
7287500,0,-4071,0,0.036,25.5,7.2875,9.8112072,1.000123058,,-24.53958028,0.035852634
7353750,0,-4124,0,3.186,25.5,7.35375,9.8112072,1.000123058,,27.9741507,3.18567008
7420000,0,-4086,0,2.765,25.5,7.42,9.8112072,1.000123058,,-10.35601293,2.764502796
7486250,0,-4093,0,0.172,25.5,7.48625,9.8112072,1.000123058,,-2.757712287,0.172283546
7552500,0,-4088,0,0.125,25.5,7.5525,9.8112072,1.000123058,,-8.047614329,0.124733
7618750,0,-4092,0,2.625,25.5,7.61875,9.8112072,1.000123058,,-3.848188539,2.625071053
7685000,0,-4075,0,-1.051,25.5,7.685,9.8112072,1.000123058,,-20.90601494,-1.05137353
7751250,0,-4070,0,0.188,25.5,7.75125,9.8112072,1.000123058,,-25.54905768,0.188429521
7817500,0,-4097,0,2.114,25.5,7.8175,9.8112072,1.000123058,,0.674490075,2.114197127
7883750,0,-4082,0,0.491,25.5,7.88375,9.8112072,1.000123058,,-13.57234847,0.490985383
7950000,0,-4098,0,3.923,25.5,7.95,9.8112072,1.000123058,,2.325332054,3.923200269
8016250,0,-4074,0,4.891,25.5,8.01625,9.8112072,1.000123058,,-22.24289161,4.891460603
8082500,0,-4096,0,1.778,25.5,8.0825,9.8112072,1.000123058,,0.33971134,1.778128049
8148750,0,-4086,0,-0.375,25.5,8.14875,9.8112072,1.000123058,,-9.712002387,-0.374932281
8215000,0,-4089,0,0.302,25.5,8.215,9.8112072,1.000123058,,-6.986950883,0.302057893
8281250,0,-4105,0,1.167,25.5,8.28125,9.8112072,1.000123058,,9.368590996,1.166874176
8347500,0,-4109,0,-0.603,25.5,8.3475,9.8112072,1.000123058,,13.40254713,-0.603304142
8413750,0,-4111,0,-0.476,25.5,8.41375,9.8112072,1.000123058,,14.65632263,-0.475895022
8480000,0,-4101,0,-1.694,25.5,8.48,9.8112072,1.000123058,,4.786259019,-1.694080581
8546250,0,-4096,0,-4.475,25.5,8.54625,9.8112072,1.000123058,,0.078617093,-4.474559021
8612500,0,-4092,0,2.908,25.5,8.6125,9.8112072,1.000123058,,-4.064058053,2.908475544
8678750,0,-4106,0,0.176,25.5,8.67875,9.8112072,1.000123058,,10.36348944,0.175798884
8745000,0,-4097,0,-0.816,25.5,8.745,9.8112072,1.000123058,,0.877161015,-0.81590121
8811250,0,-4105,0,3.819,25.5,8.81125,9.8112072,1.000123058,,8.60391463,3.819152971
8877500,0,-4100,0,-4.619,25.5,8.8775,9.8112072,1.000123058,,3.76630717,-4.619376929
8943750,0,-4096,0,-1.846,25.5,8.94375,9.8112072,1.000123058,,0.160331474,-1.84607887
9010000,0,-4107,0,2.294,25.5,9.01,9.8112072,1.000123058,,11.27917422,2.294231232
9076250,0,-4094,0,-1.311,25.5,9.07625,9.8112072,1.000123058,,-2.478842579,-1.310926287
9142500,0,-4088,0,0.867,25.5,9.1425,9.8112072,1.000123058,,-8.281924702,0.866672898
9208750,0,-4090,0,0.172,25.5,9.20875,9.8112072,1.000123058,,-5.864944469,0.172134778
9275000,0,-4085,0,2.191,25.5,9.275,9.8112072,1.000123058,,-10.63488681,2.191040565
9341250,0,-4095,0,-0.009,25.5,9.34125,9.8112072,1.000123058,,-1.014543807,-0.008982095
9407500,0,-4093,0,0.14,25.5,9.4075,9.8112072,1.000123058,,-2.864120932,0.139503511
9473750,0,-4105,0,-2.012,25.5,9.47375,9.8112072,1.000123058,,8.499474297,-2.012231306
9540000,0,-4100,0,0.697,25.5,9.54,9.8112072,1.000123058,,3.50730691,0.697396112
9606250,0,-4092,0,3.838,25.5,9.60625,9.8112072,1.000123058,,-4.017187231,3.837862007
9672500,0,-4077,0,-2.701,25.5,9.6725,9.8112072,1.000123058,,-18.64067174,-2.701469261
9738750,0,-4085,0,0.088,25.5,9.73875,9.8112072,1.000123058,,-11.18254071,0.088328801
9805000,0,-4116,0,0.334,25.5,9.805,9.8112072,1.000123058,,19.72207643,0.333819534
9871250,0,-4081,0,-1.15,25.5,9.87125,9.8112072,1.000123058,,-14.96692811,-1.150038365
9937500,0,-4103,0,-1.46,25.5,9.9375,9.8112072,1.000123058,,7.266364071,-1.459540204
10003750,0,-4095,0,1.443,25.5,10.00375,9.8112072,1.000123058,,-0.718593869,1.442663946
10070000,0,-4096,0,2.271,25.5,10.07,9.8112072,1.000123058,,0.112979018,2.270548273
10136250,0,-4112,0,0.428,25.5,10.13625,9.8112072,1.000123058,,15.87658501,0.427687509
10202500,0,-4097,0,-2.402,25.5,10.2025,9.8112072,1.000123058,,0.916186849,-2.401569994
10268750,0,-4101,0,2.257,25.5,10.26875,9.8112072,1.000123058,,4.834612749,2.256506812
10335000,0,-4081,0,-0.236,25.5,10.335,9.8112072,1.000123058,,-15.0591808,-0.235626421
10401250,0,-4091,0,-0.014,25.5,10.40125,9.8112072,1.000123058,,-4.917669915,-0.013776823
10467500,0,-4095,0,0.607,25.5,10.4675,9.8112072,1.000123058,,-1.468733283,0.607263191
10533750,0,-4073,0,0.376,25.5,10.53375,9.8112072,1.000123058,,-22.58874869,0.376051561
10600000,0,-4107,0,-1.634,25.5,10.6,9.8112072,1.000123058,,11.28958383,-1.634075923
10666250,0,-4096,0,0.202,25.5,10.66625,9.8112072,1.000123058,,-0.099728309,0.202022781
10732500,0,-4086,0,-1.342,25.5,10.7325,9.8112072,1.000123058,,-9.691030594,-1.342475293
10798750,0,-4091,0,-1.835,25.5,10.79875,9.8112072,1.000123058,,-5.344024383,-1.835289386
10865000,0,-4092,0,-2.474,25.5,10.865,9.8112072,1.000123058,,-3.656981819,-2.473839933
10931250,0,-4082,0,2.57,25.5,10.93125,9.8112072,1.000123058,,-13.88218734,2.570472427
10997500,0,-4077,0,-0.155,25.5,10.9975,9.8112072,1.000123058,,-18.53529436,-0.154585652
11063750,0,-4092,0,1.392,25.5,11.06375,9.8112072,1.000123058,,-4.36515914,1.392176446
11130000,0,-4102,0,-1.835,25.5,11.13,9.8112072,1.000123058,,5.842856635,-1.834746901
11196250,0,-4070,0,0.464,25.5,11.19625,9.8112072,1.000123058,,-26.4226748,0.46426661
11262500,0,-4065,0,-2.737,25.5,11.2625,9.8112072,1.000123058,,-30.51660397,-2.737262573
11328750,0,-4092,0,2.248,25.5,11.32875,9.8112072,1.000123058,,-4.222299993,2.248444945
11395000,0,-4088,0,-1.25,25.5,11.395,9.8112072,1.000123058,,-7.549217478,-1.250317826
11461250,0,-4106,0,-0.501,25.5,11.46125,9.8112072,1.000123058,,9.558536678,-0.500551672
11527500,0,-4115,0,1.294,25.5,11.5275,9.8112072,1.000123058,,19.21599027,1.293895855
11593750,0,-4100,0,2.717,25.5,11.59375,9.8112072,1.000123058,,4.016884577,2.717104102
11660000,0,-4100,0,-1.182,25.5,11.66,9.8112072,1.000123058,,3.637831843,-1.182087838
11726250,0,-4113,0,0.128,25.5,11.72625,9.8112072,1.000123058,,17.12072405,0.127549557
11792500,0,-4089,0,2.792,25.5,11.7925,9.8112072,1.000123058,,-7.395408262,2.791771964
11858750,0,-4103,0,1.541,25.5,11.85875,9.8112072,1.000123058,,6.682095735,1.541138389
11925000,0,-4097,0,-0.142,25.5,11.925,9.8112072,1.000123058,,0.998040783,-0.142393259
11991250,0,-4089,0,3.521,25.5,11.99125,9.8112072,1.000123058,,-6.980397073,3.521319963
12057500,0,-4098,0,-0.754,25.5,12.0575,9.8112072,1.000123058,,1.956898464,-0.753913585
12123750,0,-4104,0,-0.247,25.5,12.12375,9.8112072,1.000123058,,7.889806191,-0.247437125
12190000,0,-4096,0,0.149,25.5,12.19,9.8112072,1.000123058,,-0.445549954,0.148537833
12256250,0,-4091,0,-4.761,25.5,12.25625,9.8112072,1.000123058,,-5.29628911,-4.7605245
12322500,0,-4082,0,1.148,25.5,12.3225,9.8112072,1.000123058,,-13.583446,1.148084909
12388750,0,-4084,0,1.203,25.5,12.38875,9.8112072,1.000123058,,-12.25841154,1.203123854
12455000,0,-4117,0,1.295,25.5,12.455,9.8112072,1.000123058,,20.76280333,1.295070294
12521250,0,-4083,0,2.024,25.5,12.52125,9.8112072,1.000123058,,-12.89582699,2.023691144
12587500,0,-4074,0,1.339,25.5,12.5875,9.8112072,1.000123058,,-21.55900758,1.338829085
12653750,0,-4096,0,1.394,25.5,12.65375,9.8112072,1.000123058,,-0.175223397,1.394137342
12720000,0,-4094,0,-0.87,25.5,12.72,9.8112072,1.000123058,,-1.674033216,-0.87030969
12786250,0,-4093,0,-3.536,25.5,12.78625,9.8112072,1.000123058,,-3.474378863,-3.536054778
12852500,0,-4083,0,-3.047,25.5,12.8525,9.8112072,1.000123058,,-13.37806474,-3.046830136
12918750,0,-4080,0,2.373,25.5,12.91875,9.8112072,1.000123058,,-15.72696332,2.373010535
12985000,0,-4103,0,1.741,25.5,12.985,9.8112072,1.000123058,,7.12732836,1.741056541
13051250,0,-4092,0,1.748,25.5,13.05125,9.8112072,1.000123058,,-3.612923759,1.747962634
13117500,0,-4118,0,-2.929,25.5,13.1175,9.8112072,1.000123058,,21.76132064,-2.928687555
13183750,0,-4121,0,1.624,25.5,13.18375,9.8112072,1.000123058,,25.25495091,1.624085119
13250000,0,-4103,0,-1.656,25.5,13.25,9.8112072,1.000123058,,7.457503698,-1.65644385
13316250,0,-4095,0,2.246,25.5,13.31625,9.8112072,1.000123058,,-1.459818005,2.246258866
13382500,0,-4079,0,0.947,25.5,13.3825,9.8112072,1.000123058,,-17.04276758,0.94707393
13448750,0,-4105,0,-3.3,25.5,13.44875,9.8112072,1.000123058,,9.390906081,-3.300047136
13515000,0,-4118,0,0.322,25.5,13.515,9.8112072,1.000123058,,21.77983837,0.321865017
13581250,0,-4056,0,-2.629,25.5,13.58125,9.8112072,1.000123058,,-39.92726608,-2.628918285
13647500,0,-4080,0,-0.755,25.5,13.6475,9.8112072,1.000123058,,-16.31392775,-0.754608061
13713750,0,-4101,0,-0.528,25.5,13.71375,9.8112072,1.000123058,,4.858606833,-0.528096902
13780000,0,-4101,0,1.077,25.5,13.78,9.8112072,1.000123058,,4.857769219,1.076516333
13846250,0,-4109,0,-1.418,25.5,13.84625,9.8112072,1.000123058,,12.66784814,-1.418202012
13912500,0,-4089,0,-0.671,25.5,13.9125,9.8112072,1.000123058,,-6.843800982,-0.670871373
13978750,0,-4094,0,-3.411,25.5,13.97875,9.8112072,1.000123058,,-2.401398552,-3.410514866
14045000,0,-4113,0,2.11,25.5,14.045,9.8112072,1.000123058,,16.55495086,2.110137765
14111250,0,-4098,0,-1.787,25.5,14.11125,9.8112072,1.000123058,,1.770424296,-1.787042217
14177500,0,-4100,0,-4.672,25.5,14.1775,9.8112072,1.000123058,,4.030138148,-4.671562954
14243750,0,-4082,0,0.335,25.5,14.24375,9.8112072,1.000123058,,-14.1255736,0.33525997
14310000,0,-4088,0,3.134,25.5,14.31,9.8112072,1.000123058,,-8.236023105,3.134269409
14376250,0,-4096,0,2.95,25.5,14.37625,9.8112072,1.000123058,,0.190252671,2.949918245
14442500,0,-4116,0,1.295,25.5,14.4425,9.8112072,1.000123058,,19.97235194,1.294545501
14508750,0,-4077,0,-3.273,25.5,14.50875,9.8112072,1.000123058,,-19.01052288,-3.273387699
14575000,0,-4106,0,-1.326,25.5,14.575,9.8112072,1.000123058,,9.805383501,-1.325593209
14641250,0,-4082,0,-1.493,25.5,14.64125,9.8112072,1.000123058,,-13.87880737,-1.492670546
14707500,0,-4102,0,-1.472,25.5,14.7075,9.8112072,1.000123058,,5.780942502,-1.471831109
14773750,0,-4097,0,1.9,25.5,14.77375,9.8112072,1.000123058,,0.648022639,1.899795378
14840000,0,-4117,0,-1.372,25.5,14.84,9.8112072,1.000123058,,21.47435592,-1.372439166
14906250,0,-4119,0,0.714,25.5,14.90625,9.8112072,1.000123058,,22.92550253,0.713603481
14972500,0,-4098,0,1.317,25.5,14.9725,9.8112072,1.000123058,,2.121078187,1.317484923
15038750,0,-4091,0,-2.931,25.5,15.03875,9.8112072,1.000123058,,-5.179687988,-2.930580776
15105000,0,-4123,0,-3.748,25.5,15.105,9.8112072,1.000123058,,27.27842044,-3.748379827
15171250,0,-4069,0,-0.868,25.5,15.17125,9.8112072,1.000123058,,-26.690363,-0.867793622
15237500,0,-4065,0,1.822,25.5,15.2375,9.8112072,1.000123058,,-31.05864358,1.821733452
15303750,0,-4060,0,-0.789,25.5,15.30375,9.8112072,1.000123058,,-36.34673995,-0.789383727
15370000,0,-4105,0,0.803,25.5,15.37,9.8112072,1.000123058,,9.071970918,0.802951921
15436250,0,-4094,0,-0.961,25.5,15.43625,9.8112072,1.000123058,,-1.871347084,-0.961076839
15502500,0,-4085,0,1.302,25.5,15.5025,9.8112072,1.000123058,,-11.41194267,1.302396402
15568750,0,-4098,0,0.038,25.5,15.56875,9.8112072,1.000123058,,2.426337856,0.03792613
15635000,0,-4097,0,-1.67,25.5,15.635,9.8112072,1.000123058,,1.025119611,-1.669789569
15701250,0,-4064,0,-1.399,25.5,15.70125,9.8112072,1.000123058,,-31.84253592,-1.399292295
15767500,0,-4097,0,-1.027,25.5,15.7675,9.8112072,1.000123058,,0.899386257,-1.026810254
15833750,0,-4125,0,-0.996,25.5,15.83375,9.8112072,1.000123058,,28.55290671,-0.996191253
15900000,0,-4120,0,2.425,25.5,15.9,9.8112072,1.000123058,,24.23935357,2.424510728
15966250,0,-4071,0,0.635,25.5,15.96625,9.8112072,1.000123058,,-25.47334777,0.634761845
16032500,0,-4119,0,-0.946,25.5,16.0325,9.8112072,1.000123058,,23.39424767,-0.945610167
16098750,0,-4082,0,-0.55,25.5,16.09875,9.8112072,1.000123058,,-13.96295098,-0.550283653
16165000,0,-4097,0,4.579,25.5,16.165,9.8112072,1.000123058,,0.961825223,4.579299564
16231250,0,-4088,0,3.251,25.5,16.23125,9.8112072,1.000123058,,-7.865588416,3.251127091
16297500,0,-4089,0,-1.282,25.5,16.2975,9.8112072,1.000123058,,-6.745171289,-1.28231353
16363750,0,-4111,0,0.15,25.5,16.36375,9.8112072,1.000123058,,14.82456317,0.149908962
16430000,0,-4131,0,-2.402,25.5,16.43,9.8112072,1.000123058,,35.1330747,-2.402370515
16496250,0,-4112,0,1.65,25.5,16.49625,9.8112072,1.000123058,,16.46724252,1.649647933
16562500,0,-4106,0,1.143,25.5,16.5625,9.8112072,1.000123058,,10.17610939,1.142631689
16628750,0,-4073,0,0.703,25.5,16.62875,9.8112072,1.000123058,,-22.8295155,0.702551858
16695000,0,-4103,0,-0.181,25.5,16.695,9.8112072,1.000123058,,7.121183943,-0.181495017
16761250,0,-4086,0,-1.435,25.5,16.76125,9.8112072,1.000123058,,-9.762073071,-1.435488478
16827500,0,-4105,0,0.622,25.5,16.8275,9.8112072,1.000123058,,8.662205346,0.621712202
16893750,0,-4086,0,1.339,25.5,16.89375,9.8112072,1.000123058,,-9.740603448,1.338633927
16960000,0,-4107,0,-2.86,25.5,16.96,9.8112072,1.000123058,,11.46460194,-2.8596246
17026250,0,-4094,0,1.678,25.5,17.02625,9.8112072,1.000123058,,-2.055904895,1.677757657
17092500,0,-4097,0,-0.832,25.5,17.0925,9.8112072,1.000123058,,1.059256988,-0.831618795
17158750,0,-4098,0,-2.153,25.5,17.15875,9.8112072,1.000123058,,2.187453029,-2.152578691
17225000,0,-4085,0,-0.366,25.5,17.225,9.8112072,1.000123058,,-10.59464704,-0.366458368
17291250,0,-4100,0,1.552,25.5,17.29125,9.8112072,1.000123058,,3.814302491,1.551598884
17357500,0,-4090,0,1.8,25.5,17.3575,9.8112072,1.000123058,,-5.547963597,1.799692276
17423750,0,-4105,0,-0.678,25.5,17.42375,9.8112072,1.000123058,,9.155495153,-0.678390993
17490000,0,-4065,0,5.636,25.5,17.49,9.8112072,1.000123058,,-31.06439206,5.636259756
17556250,0,-4107,0,-4.847,25.5,17.55625,9.8112072,1.000123058,,10.51433576,-4.846726133
17622500,0,-4084,0,1.661,25.5,17.6225,9.8112072,1.000123058,,-12.41328657,1.66051288
17688750,0,-4098,0,1.717,25.5,17.68875,9.8112072,1.000123058,,2.178272117,1.716635274
17755000,0,-4093,0,-1.861,25.5,17.755,9.8112072,1.000123058,,-2.788609685,-1.861222604
17821250,0,-4106,0,1.035,25.5,17.82125,9.8112072,1.000123058,,9.84463733,1.035326496
17887500,0,-4127,0,1.771,25.5,17.8875,9.8112072,1.000123058,,30.91483924,1.770565842
